ISBN,Title,Author,Page Count,Publication Date,Language,AverageRating,RatingsCount
4758009341,ヲタクに恋は難しい 3,ふじた,127,2016-12-01,ja,,
4086006642,伯爵と妖精,谷瑞恵,282,2005-11-01,ja,,
4796679928,さよならドビュッシー,中山七里,415,2011-01-01,ja,3.5,9.0
4167110075,探偵ガリレオ,東野圭吾,330,2002-02-01,ja,3.5,4.0
4048665081,エウロパの底から,入間人間,331,2014-03-25,ja,,
4048741152,源氏物語悲しみの皇子,高山由紀子,357,2010-09-01,ja,,
4758435405,蜘蛛の糸,芥川龍之介,125,2011-04-01,ja,,
4043836422,万能鑑定士Qの事件簿 I,松岡圭祐,274,2010-01-01,ja,,
410209508X,ティファニーで朝食を,トルーマンカポーティ,282,2008-12-01,ja,,
1408857863,A Court of Thorns and Roses,Sarah J. Maas,419,2015-05-01,en,4.0,2644.0
4334744710,ストロベリーナイト,誉田哲也,435,2008-09-01,ja,3.5,19.0
4086007479,伯爵と妖精,谷瑞恵,284,2006-03-01,ja,,
9781780622316,Crooked Kingdom,Leigh Bardugo,560,2017-05-04,en,4.5,44.0
1472154665,Where the Crawdads Sing,Delia Owens,370,2019-12-01,en,4.0,215.0
1409181634,The Silent Patient,Alex Michaelides,352,2019-12-01,en,3.5,128.0
4048926403,ビブリア古書堂の事件手帖 7,三上延,354,2017-02-01,ja,,
406276444X,赤い指,東野圭吾,306,2009-08-01,ja,3.5,12.0
9781783290215,Vicious,V. E. Schwab,353,2014-01-01,en,4.0,42.0
4086007886,伯爵と妖精駆け落ちは月夜を待って,谷瑞恵,272,2006-06-01,ja,,
4094060863,世界から猫が消えたなら,川村元気,229,2014-09-23,ja,3.0,12.0
4758009511,ヲタクに恋は難しい 4,ふじた,127,2017-07-01,ja,,
4048660772,オーダーは探偵に,近江泉美,265,2013-11-22,ja,,
4062761696,妖怪アパートの幽雅な日常,香月日輪,239,2008-10-01,ja,3.0,1.0
4048927043,キネマ探偵カレイドミステリー,斜線堂有紀,370,2017-02-01,ja,,
9781785652745,This Savage Song,Victoria Schwab,400,2016-06-01,en,4.0,1020.0
4087754383,マスカレード・ナイト,東野圭吾,464,2017-09-01,ja,,
4163902945,羊と鋼の森,宮下奈都,243,2015-09-15,ja,3.5,7.0
